what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1404210005196
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1404210005196
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1404210005196
java.specification.name,sysinfo,,,"Java Platform API Specification",1404210005196
java.specification.vendor,sysinfo,,,"Oracle Corporation",1404210005196
java.specification.version,sysinfo,,,"1.7",1404210005196
java.vendor,sysinfo,,,"Oracle Corporation",1404210005196
java.version,sysinfo,,,"1.7.0_51",1404210005196
java.vm.info,sysinfo,,,"mixed mode, sharing",1404210005196
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1404210005196
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1404210005196
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1404210005196
java.vm.specification.version,sysinfo,,,"1.7",1404210005196
java.vm.vendor,sysinfo,,,"Oracle Corporation",1404210005196
java.vm.version,sysinfo,,,"24.51-b03",1404210005196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404210009198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404210011363
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1404210011991
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1404210012006
opened,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1404210012058
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1404210012088
activated,perspective,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.perspective",1404210012117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1404210012164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1404210012164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404210019424
